resource_id,display_name,contrast_description,tissue_age_sex,assay_or_data_layer,source_url,retrieved_utc,license_terms,repo_role
MOESM_Zhang2017,"Zhang et al. (2017) Nature supplementary Excel","Per MOESM table experimental layout (miRNA exosome cytokine Sox2 etc.)","Mouse; designs per spreadsheet","Laboratory measurements in publication","local MOESM xlsx per config MOESM_GLOB in run_pipeline",2026-05-14,"Publisher / Nature terms; cite original paper","Primary MOESM computational layer (run_pipeline.py)"
GSE188646_RDS,"GSE188646 integrated snRNA-seq object","Young vs aged female mice hypothalamic nuclei (publication design); pseudobulk here = sum counts per orig.ident then edgeR QLF Aged vs Young","Hypothalamus; female; young vs aged as in GEO metadata","10x snRNA-seq; Seurat v4 object RNA assay counts","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE188nnn/GSE188646/suppl/GSE188646_hypo.integrated.final.20210719.RDS.gz",2026-05-14,"GEO terms of use; cite Nat Aging 2022 paper / PMID as in GEO record","Optional pseudobulk DE Fisher PROGENy DoRothEA fgsea camera fry (run_extended / tier2)"
GSE188646_metadata,"GSE188646 sample table (GEOparse)","Same study; sample-level metadata only in default pipeline","As above","GEO SOFT metadata","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE188646",2026-05-14,"GEO terms of use","Context JSON + sample_metadata.csv (run_pipeline.py)"
HypoMap_GSE208355,"HypoMap supplementary DESeq2 IP/input tables","POMC / Agrp / GLP1R IP vs input (NOT hypothalamus young vs aged)","Hypothalamus-derived sorted populations (study-specific)","DESeq2 statistics on GEO supplementary CSV.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE208nnn/GSE208355/suppl/",2026-05-14,"GEO terms of use","Fisher overlap + optional cluster–axis Spearman/lm vs GSE188646 (r/gse188646_hypomap_reference_mapping.R); contrast-mismatch disclaimer required"
HypoMap_CELLxGENE_full_atlas,"HypoMap scRNA atlas (CELLxGENE Discover)","Integrated reference (NOT GSE188646 young vs aged); cluster-type Spearman is descriptive","Mouse hypothalamus; multi-study ages/sexes per CELLxGENE metadata","AnnData X analysis matrix; raw counts in raw.X; 384925 cells","https://datasets.cellxgene.cziscience.com/d3be7423-d664-4913-89a9-a506cae4c28f.h5ad",2026-05-15,"CELLxGENE and publisher terms; DOI 10.1038/s42255-022-00657-y","Local h5ad via tools/download_hypomap_cellxgene_h5ad.py; reference CSVs e.g. hypomap_cellxgene_C66_named_mean_X.csv (overview) or hypomap_cellxgene_C185_named_mean_X_min200.csv (finer C185 min200 cells); hypomap_custom_ref_spearman.csv"
GenAge_HAGR,"GenAge model organisms (zip)","Longevity influence genes (literature curated; subset Mus musculus used)","Multi-tissue model-organism entries","Gene list (CSV in zip)","https://genomics.senescence.info/genes/models_genes.zip",2026-05-14,"HAGR academic use; cite GenAge / NAR database papers","Tier-2 Fisher vs targets; see GenAge_HAGR.txt"
miRTarBase_Enrichr2017,"miRTarBase 2017 Enrichr GMT","Experimentally supported miRNA-target pairs (mmu rows)","In silico prior on mouse symbols","GMT gene-set library","https://maayanlab.cloud/Enrichr/geneSetLibrary?mode=text&libraryName=miRTarBase_2017",2026-05-14,"Enrichr / source database terms","Target union + Fisher universe"
MSigDB_Hallmark2020_Enrichr,"MSigDB Hallmark 2020 (Enrichr GMT)","Hallmark gene sets (mouse-compatible symbol space as provided)","Pathway space","GMT","https://maayanlab.cloud/Enrichr/geneSetLibrary?mode=text&libraryName=MSigDB_Hallmark_2020",2026-05-14,"MSigDB / Enrichr terms","ORA GSEA fgsea fgseaMultilevel camera fry (where applicable)"
decoupler_PROGENy_mouse,"PROGENy network (mouse)","Pathway weights for mlm on expression matrix","Not tissue-specific; network prior","In silico prior via decoupler","https://omnipathdb.org/ (via decoupler resource fetch)",2026-05-14,"decoupler academic license flag used in code","Sample-level pathway scores on pseudobulk log-CPM"
decoupler_DoRothEA_mouse,"DoRothEA regulon (mouse; confidence A+B)","TF-target edges for mlm on expression matrix","Not tissue-specific; literature regulon prior","In silico prior via decoupler / OmniPath","https://omnipathdb.org/ (via decoupler resource fetch)",2026-05-14,"decoupler academic license flag used in code","Exploratory TF activity (mlm) on pseudobulk log-CPM (exploratory_* CSVs)"
GSE87102_series_matrix,"GSE87102 microarray (subset C57 hypothalamus)","Young (2–3 mo) vs old (22–24 mo) male C57BL/6 whole hypothalamus (GEO sample titles); limma on series matrix","Hypothalamus; male; C57BL/6","Agilent 4x44K expression (log2)","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE87102",2026-05-14,"GEO terms of use; PMID 27689748","Cohort2 DE for two-cohort DL meta (run_extended.py default unless SKIP_COHORT2_META=1)"
GSE94940_extra,"GSE94940 (GEOparse metadata pull)","Not harmonised to Zhang contrast in this repo","Per GEO record","Metadata only","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE94940",2026-05-14,"GEO terms","Extra GEO context table only"
GSE161219_extra,"GSE161219 (GEOparse metadata pull)","Not harmonised to Zhang contrast in this repo","Per GEO record","Metadata only","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE161219",2026-05-14,"GEO terms","Extra GEO context table only"
LIFU_literature,"LIFU / tFUS literature layer","N/A (narrative citations)","Human / device physics context","Curated text in repo","internal: src/lifu_evidence_layer.py TEXT constant",2026-05-14,"Cite original papers referenced in LIFU_evidence_layer.txt","Separate non-omics evidence lane; not merged statistically"
DATA_ACQUISITION_POLICY,"Programmatic fetch + QC hooks","N/A","N/A","Python orchestration over NLM GEO / Enrichr / CELLxGENE URLs listed in sibling rows","internal: src/data_acquisition.py; tools/fetch_public_reference_data.py; tools/download_*.py",2026-05-14,"Same as each upstream resource","AUTO_FETCH_* env; GMT tabular validation; canonical GSE188646 RDS path; see DATA_ACQUISITION_AND_QC_RATIONALE.txt"
SA_BUNDLE_COMPLETENESS,"Science Advances bundle checklist","N/A","N/A","Post-run text listing key CSV/JSON/PNG presence","internal: run_extended.py _build_completeness_block",2026-05-15,"N/A","outputs/SA_COMPLETENESS_CHECK.txt; duplicated in EXTENDED_REPORT.txt"
SCIENCE_ADVANCES_PENDING_CHECKLIST,"SA submission gaps (manuscript + policy)","N/A","N/A","Static checklist (not computed)","internal: data/provenance/SCIENCE_ADVANCES_PENDING_CHECKLIST.txt",2026-05-15,"N/A","Complements SA_COMPLETENESS_CHECK.txt (code outputs vs paper/archival tasks)"
